s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-2.0579436E-003,-3.5517120E-003,-6.1400725E-003,-4.1028286E-003,-2.7071269E-003,-3.6877101E-003,-4.9361186E-003,-5.7181090E-003,-5.5384339E-003,-4.8358018E-003,-2.5830260E-003,-3.4979833E-003,-5.1797747E-003,-4.0627775E-003,-2.7561322E-003,-1.7876493E-003,-3.0490628E-003,-5.1472898E-003,-3.6425996E-003,-2.1359244E-003,-5.3247841E-003,-5.2653252E-003,-5.5508361E-003,-4.8319450E-003,-3.5611585E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0111483E-001, 8.1352498E-003, 1.0201127E-002, 1.0812582E-002, 1.0162819E-002, 8.2033959E-003, 1.2939340E-003, 1.6850602E-003, 1.8511019E-003, 1.7587444E-003, 1.3388152E-003, 2.9553311E-004, 3.4220848E-004, 2.5790950E-004, 3.8198438E-004, 3.1118584E-004, 6.5120516E-005, 5.2089690E-005, 8.5188857E-005, 4.5458841E-005, 6.6542369E-005,-1.9514991E-005,-5.1920435E-005,-1.3760614E-004,-1.0532260E-004,-7.4363064E-005, 1.9999805E+001, 1.9999839E+001, 1.9999810E+001, 1.9999855E+001, 1.9999895E+001
 1.0022297E+000, 9.3807764E-002, 1.2454663E-001, 1.3994730E-001, 1.2355341E-001, 9.4151391E-002, 1.7816612E-002, 2.3628753E-002, 2.7310541E-002, 2.3665081E-002, 1.7819841E-002, 5.7304479E-003, 6.5797996E-003, 6.2742335E-003, 6.4350494E-003, 5.7228171E-003, 2.5768727E-003, 2.7666470E-003, 4.4192269E-003, 2.6787050E-003, 2.5736646E-003, 3.9523946E-003, 2.4005890E-003, 7.2007886E-004, 1.5472870E-004, 6.1378864E-005, 2.0001533E+001, 2.0000853E+001, 2.0000152E+001, 1.9999968E+001, 1.9999956E+001
 1.5000037E+000, 1.7795439E-001, 2.5626096E-001, 2.8517893E-001, 2.5915081E-001, 1.8117396E-001, 3.5723188E-002, 5.1857884E-002, 5.9293218E-002, 4.9938657E-002, 3.6854644E-002, 1.2757158E-002, 1.3570174E-002, 1.3863912E-002, 1.3322900E-002, 1.2684055E-002, 6.0441485E-003, 6.8087457E-003, 1.1308149E-002, 6.5504635E-003, 6.2892301E-003, 1.1360520E-002, 7.6808826E-003, 2.3225535E-003, 3.8455404E-004, 1.0095181E-004, 2.0008737E+001, 2.0005678E+001, 2.0001647E+001, 2.0000218E+001, 2.0000012E+001
 2.0016953E+000, 3.1538312E-001, 4.4540759E-001, 4.6340877E-001, 4.3777473E-001, 3.5775874E-001, 6.2748734E-002, 7.8661079E-002, 8.8663665E-002, 7.8055991E-002, 6.0673749E-002, 2.1430218E-002, 1.9599069E-002, 2.3842207E-002, 1.9185675E-002, 2.2340151E-002, 9.3741988E-003, 9.4003897E-003, 2.2738563E-002, 9.1591591E-003, 1.0419015E-002, 2.3367018E-002, 1.2745115E-002, 3.0519903E-003, 4.5920604E-004, 1.2746132E-004, 2.0022231E+001, 2.0013700E+001, 2.0003629E+001, 2.0000488E+001, 2.0000065E+001
 2.5004330E+000, 4.8854284E-001, 8.6532925E-001, 7.4116029E-001, 6.5137058E-001, 4.3307165E-001, 8.7026535E-002, 1.1445538E-001, 1.2751236E-001, 1.1325575E-001, 8.9393122E-002, 3.9744823E-002, 2.8960814E-002, 5.2759525E-002, 2.8910346E-002, 3.9397849E-002, 1.6800350E-002, 1.4065765E-002, 4.0845601E-002, 1.2459382E-002, 1.9621963E-002, 2.9761113E-002, 1.4082829E-002, 3.2800638E-003, 5.5423156E-004, 1.6270976E-004, 2.0041116E+001, 2.0021837E+001, 2.0005349E+001, 2.0000751E+001, 2.0000124E+001
 3.0008769E+000, 7.2184213E-001, 1.0133918E+000, 1.6850279E+000, 1.0614419E+000, 6.2956431E-001, 1.4040934E-001, 1.7937046E-001, 2.1179890E-001, 2.5104431E-001, 1.7309507E-001, 4.6591345E-002, 3.9130328E-002, 5.7226189E-002, 4.2184008E-002, 4.7511750E-002, 2.7208596E-002, 2.6562305E-002, 5.0274623E-002, 2.2275264E-002, 3.0875622E-002, 4.0182943E-002, 1.7737608E-002, 3.8332823E-003, 6.7709472E-004, 2.0409849E-004, 2.0061014E+001, 2.0030420E+001, 2.0007144E+001, 2.0001053E+001, 2.0000195E+001
 3.5006580E+000, 7.8617870E-001, 1.2069534E+000, 1.7989842E+000, 1.0484142E+000, 7.4146749E-001, 3.2335966E-001, 2.2936172E-001, 7.2190006E-001, 5.9315036E-001, 3.4249744E-001, 5.5883929E-002, 5.4059149E-002, 2.2227305E-001, 1.5314899E-001, 5.5289518E-002, 3.3740125E-002, 3.4158043E-002, 5.3689831E-002, 3.1295609E-002, 3.5234277E-002, 5.1966705E-002, 2.6385832E-002, 5.6245125E-003, 9.4556981E-004, 2.6512100E-004, 2.0088969E+001, 2.0043270E+001, 2.0009623E+001, 2.0001466E+001, 2.0000293E+001
 4.0003326E+000, 9.7604645E-001, 1.8913778E+000, 2.5037422E+000, 1.8152692E+000, 9.3423763E-001, 3.4976121E-001, 4.1671581E-001, 6.3519686E-001, 4.0498710E-001, 3.3627860E-001, 1.4899039E-001, 2.8051328E-001, 3.2815113E-001, 3.3826874E-001, 1.6684401E-001, 5.5971114E-002, 1.3722328E-001, 1.9878962E-001, 2.1364474E-001, 1.8338157E-001, 6.2611389E-002, 3.4740697E-002, 8.1764757E-003, 1.3527046E-003, 3.6985882E-004, 2.0118480E+001, 2.0061092E+001, 2.0013777E+001, 2.0002113E+001, 2.0000435E+001
