m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
-4.688E-01,-1.210E-01,-6.908E-02, 4.577E-02, 2.315E-01, 1.461E-01, 1.013E-01, 2.775E-03, 1.202E-03, 1.419E-03, 3.922E-03, 1.698E-03, 2.006E-03, 1.268E-01, 5.843E-02, 7.403E-02, 7.749E-02, 5.895E-02, 1.008E-01, 2.462E-03, 1.277E-03, 1.318E-03, 3.480E-03, 1.805E-03, 1.863E-03,-2.481E-04,-7.745E-05, 1.857E-04
-4.062E-01,-1.210E-01,-6.908E-02, 4.577E-02, 2.315E-01, 1.461E-01, 1.013E-01, 2.775E-03, 1.202E-03, 1.419E-03, 3.922E-03, 1.698E-03, 2.006E-03, 1.268E-01, 5.843E-02, 7.403E-02, 7.749E-02, 5.895E-02, 1.008E-01, 2.462E-03, 1.277E-03, 1.318E-03, 3.480E-03, 1.805E-03, 1.863E-03,-2.481E-04,-7.745E-05, 1.857E-04
-3.438E-01, 2.904E-01, 2.803E-01, 3.100E-01, 2.982E-01, 1.558E-01, 1.186E-01, 1.940E-02, 1.002E-02, 7.913E-03, 2.742E-02, 1.417E-02, 1.118E-02, 3.011E-01, 2.239E-01, 2.579E-01, 1.292E-01, 1.000E-01, 1.415E-01, 1.682E-02, 7.756E-03, 6.694E-03, 2.377E-02, 1.096E-02, 9.462E-03, 9.604E-03, 5.170E-03, 5.066E-03
-2.812E-01, 5.746E-01, 7.345E-01, 9.220E-01, 3.768E-01, 1.831E-01, 1.255E-01, 5.297E-02, 3.349E-02, 2.949E-02, 7.487E-02, 4.734E-02, 4.168E-02, 4.382E-01, 4.443E-01, 4.848E-01, 1.387E-01, 1.321E-01, 1.784E-01, 3.547E-02, 2.050E-02, 1.763E-02, 5.014E-02, 2.897E-02, 2.491E-02, 3.736E-02, 3.445E-02, 3.891E-02
-2.188E-01, 5.746E-01, 7.345E-01, 9.220E-01, 3.768E-01, 1.831E-01, 1.255E-01, 5.297E-02, 3.349E-02, 2.949E-02, 7.487E-02, 4.734E-02, 4.168E-02, 4.382E-01, 4.443E-01, 4.848E-01, 1.387E-01, 1.321E-01, 1.784E-01, 3.547E-02, 2.050E-02, 1.763E-02, 5.014E-02, 2.897E-02, 2.491E-02, 3.736E-02, 3.445E-02, 3.891E-02
-1.562E-01, 1.501E+00, 1.942E+00, 2.220E+00, 4.045E-01, 2.016E-01, 1.229E-01, 1.592E-01, 1.094E-01, 9.312E-02, 2.250E-01, 1.546E-01, 1.316E-01, 4.398E-01, 5.226E-01, 6.349E-01, 1.474E-01, 1.662E-01, 2.350E-01, 6.786E-02, 4.672E-02, 4.034E-02, 9.591E-02, 6.603E-02, 5.701E-02, 1.787E-01, 1.849E-01, 1.912E-01
-9.375E-02, 2.500E+00, 3.487E+00, 4.000E+00, 2.025E-01, 1.135E-01, 7.929E-02, 3.735E-01, 2.779E-01, 2.236E-01, 5.280E-01, 3.928E-01, 3.160E-01, 2.863E-01, 4.287E-01, 5.280E-01, 2.058E-01, 2.459E-01, 2.887E-01, 7.319E-02, 6.369E-02, 5.303E-02, 1.034E-01, 9.002E-02, 7.496E-02, 4.423E-01, 5.172E-01, 5.328E-01
-3.125E-02, 2.500E+00, 3.487E+00, 4.000E+00, 2.025E-01, 1.135E-01, 7.929E-02, 3.735E-01, 2.779E-01, 2.236E-01, 5.280E-01, 3.928E-01, 3.160E-01, 2.863E-01, 4.287E-01, 5.280E-01, 2.058E-01, 2.459E-01, 2.887E-01, 7.319E-02, 6.369E-02, 5.303E-02, 1.034E-01, 9.002E-02, 7.496E-02, 4.423E-01, 5.172E-01, 5.328E-01
 3.125E-02, 2.483E+00, 3.475E+00, 4.001E+00,-3.566E-01,-1.834E-01,-1.140E-01, 3.729E-01, 2.771E-01, 2.238E-01, 5.271E-01, 3.917E-01, 3.164E-01, 3.113E-01, 4.647E-01, 5.475E-01, 1.863E-01, 2.311E-01, 2.889E-01, 7.469E-02, 6.722E-02, 5.598E-02, 1.056E-01, 9.501E-02, 7.912E-02, 4.398E-01, 5.150E-01, 5.336E-01
 9.375E-02, 2.483E+00, 3.475E+00, 4.001E+00,-3.566E-01,-1.834E-01,-1.140E-01, 3.729E-01, 2.771E-01, 2.238E-01, 5.271E-01, 3.917E-01, 3.164E-01, 3.113E-01, 4.647E-01, 5.475E-01, 1.863E-01, 2.311E-01, 2.889E-01, 7.469E-02, 6.722E-02, 5.598E-02, 1.056E-01, 9.501E-02, 7.912E-02, 4.398E-01, 5.150E-01, 5.336E-01
 1.562E-01, 1.688E+00, 2.130E+00, 2.371E+00,-3.958E-01,-2.000E-01,-1.315E-01, 1.818E-01, 1.204E-01, 9.645E-02, 2.570E-01, 1.701E-01, 1.363E-01, 3.373E-01, 4.764E-01, 5.535E-01, 1.322E-01, 1.728E-01, 2.217E-01, 6.146E-02, 4.629E-02, 3.755E-02, 8.687E-02, 6.543E-02, 5.308E-02, 2.116E-01, 2.097E-01, 2.049E-01
 2.188E-01, 6.454E-01, 6.558E-01, 7.365E-01,-3.758E-01,-1.978E-01,-1.520E-01, 5.587E-02, 3.128E-02, 2.602E-02, 7.896E-02, 4.422E-02, 3.678E-02, 3.706E-01, 3.852E-01, 4.016E-01, 1.240E-01, 1.712E-01, 1.903E-01, 2.938E-02, 1.706E-02, 1.355E-02, 4.153E-02, 2.411E-02, 1.915E-02, 3.783E-02, 2.628E-02, 2.569E-02
 2.812E-01, 6.454E-01, 6.558E-01, 7.365E-01,-3.758E-01,-1.978E-01,-1.520E-01, 5.587E-02, 3.128E-02, 2.602E-02, 7.896E-02, 4.422E-02, 3.678E-02, 3.706E-01, 3.852E-01, 4.016E-01, 1.240E-01, 1.712E-01, 1.903E-01, 2.938E-02, 1.706E-02, 1.355E-02, 4.153E-02, 2.411E-02, 1.915E-02, 3.783E-02, 2.628E-02, 2.569E-02
 3.438E-01, 2.540E-01, 3.109E-01, 3.864E-01,-2.905E-01,-1.725E-01,-1.405E-01, 1.927E-02, 1.041E-02, 9.237E-03, 2.724E-02, 1.472E-02, 1.306E-02, 2.924E-01, 3.361E-01, 3.740E-01, 1.233E-01, 1.551E-01, 1.461E-01, 1.571E-02, 1.122E-02, 9.414E-03, 2.220E-02, 1.586E-02, 1.331E-02, 8.730E-03, 7.893E-03, 7.958E-03
 4.062E-01, 3.748E-03, 7.358E-02, 4.419E-02,-2.279E-01,-1.502E-01,-1.242E-01, 4.678E-03, 2.942E-03, 2.722E-03, 6.612E-03, 4.158E-03, 3.848E-03, 1.843E-01, 1.035E-01, 1.404E-01, 9.546E-02, 1.100E-01, 9.497E-02, 5.426E-03, 4.187E-03, 3.761E-03, 7.669E-03, 5.918E-03, 5.316E-03, 8.849E-04, 5.670E-04, 6.497E-04
 4.688E-01, 3.748E-03, 7.358E-02, 4.419E-02,-2.279E-01,-1.502E-01,-1.242E-01, 4.678E-03, 2.942E-03, 2.722E-03, 6.612E-03, 4.158E-03, 3.848E-03, 1.843E-01, 1.035E-01, 1.404E-01, 9.546E-02, 1.100E-01, 9.497E-02, 5.426E-03, 4.187E-03, 3.761E-03, 7.669E-03, 5.918E-03, 5.316E-03, 8.849E-04, 5.670E-04, 6.497E-04
