Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
1,0.0300,0.0009,0.02124,0.00108,0.0914,0.0182,0.0055,0.0004,0.0059,0.0002,0.0000,0.0000,0.0000,0.0000,0.4796,0.0122,0.0000,0.0000,0.335916,0.015220,0.0000,0.0000,0.024261,0.000708,0.00169,0.00008,0.000056,0.000004,0.000169,0.000007,0.000369,0.000021,0.000102,0.000012,0.35945,0.01526, 777.0,458.0, 779.0,456.0
2,0.0359,0.0011,0.02170,0.00111,0.1091,0.0215,0.0064,0.0005,0.0093,0.0003,0.0000,0.0000,0.0000,0.0000,0.5582,0.0147,0.0000,0.0000,0.227605,0.010434,0.0000,0.0000,0.025546,0.000767,0.00178,0.00009,0.000077,0.000005,0.000164,0.000007,0.000398,0.000023,0.000195,0.000013,0.25172,0.01049, 969.0,520.0, 974.0,516.0
4,0.0385,0.0012,0.02477,0.00128,0.1169,0.0230,0.0068,0.0005,0.0058,0.0002,0.0000,0.0000,0.0000,0.0000,0.5923,0.0160,0.0000,0.0000,0.177296,0.008203,0.0000,0.0000,0.031072,0.000952,0.00204,0.00010,0.000095,0.000006,0.000146,0.000006,0.000432,0.000025,0.000251,0.000010,0.20478,0.00830,1120.0,502.0,1127.0,498.0
6,0.0407,0.0015,0.02331,0.00130,0.1626,0.0320,0.0068,0.0005,0.0064,0.0002,0.0000,0.0000,0.0000,0.0000,0.5946,0.0204,0.0000,0.0000,0.127522,0.006487,0.0000,0.0000,0.031040,0.001156,0.00249,0.00013,0.000160,0.000011,0.000108,0.000005,0.000434,0.000027,0.000460,0.000100,0.15402,0.00662,1203.0,492.0,1213.0,488.0
10,0.0423,0.0015,0.02038,0.00111,0.1510,0.0297,0.0074,0.0006,0.0200,0.0007,0.0000,0.0000,0.0000,0.0000,0.6491,0.0209,0.0000,0.0000,0.075744,0.003746,0.0000,0.0000,0.027543,0.000972,0.00207,0.00011,0.000110,0.000007,0.000086,0.000004,0.000360,0.000022,0.000545,0.000153,0.09875,0.00391,1294.0,462.0,1307.0,458.0
14,0.0428,0.0015,0.01956,0.00105,0.1417,0.0279,0.0077,0.0006,0.0251,0.0008,0.0000,0.0000,0.0000,0.0000,0.6730,0.0206,0.0000,0.0000,0.056726,0.002748,0.0000,0.0000,0.027025,0.000915,0.00198,0.00010,0.000127,0.000008,0.000083,0.000004,0.000307,0.000018,0.000784,0.000048,0.07878,0.00294,1339.0,448.0,1354.0,444.0
20,0.0388,0.0012,0.01323,0.00069,0.1264,0.0249,0.0080,0.0006,0.0553,0.0017,0.0000,0.0000,0.0000,0.0000,0.6985,0.0196,0.0000,0.0000,0.034678,0.001625,0.0000,0.0000,0.019547,0.000617,0.00133,0.00007,0.000076,0.000005,0.000069,0.000003,0.000263,0.000015,0.000506,0.000103,0.04965,0.00177,1351.0,486.0,1366.0,482.0
30,0.0296,0.0007,0.00407,0.00020,0.0730,0.0146,0.0086,0.0006,0.1082,0.0024,0.0000,0.0000,0.0000,0.0000,0.7564,0.0151,0.0000,0.0000,0.007964,0.000339,0.0000,0.0000,0.007655,0.000189,0.00052,0.00002,0.000015,0.000001,0.000023,0.000001,0.000093,0.000005,0.000212,0.000011,0.01268,0.00039,1207.0,624.0,1218.0,618.0
45,0.0181,0.0004,0.00078,0.00004,0.0336,0.0071,0.0088,0.0006,0.1524,0.0029,0.0000,0.0000,0.0000,0.0000,0.7797,0.0122,0.0000,0.0000,0.001035,0.000042,0.0000,0.0000,0.001544,0.000033,0.00012,0.00001,0.000000,0.000000,0.000000,0.000000,0.000011,0.000001,0.000062,0.000024,0.00195,0.00006, 967.0,670.0, 973.0,698.0
60,0.0120,0.0003,0.00000,0.00000,0.0229,0.0051,0.0085,0.0006,0.1710,0.0031,0.0000,0.0000,0.0000,0.0000,0.7812,0.0117,0.0000,0.0000,0.000189,0.000008,0.0000,0.0000,0.000342,0.000007,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,0.000023,0.00019,0.00001, 748.0,608.0, 751.0,606.0
75,0.0099,0.0002,0.00000,0.00000,0.0181,0.0042,0.0089,0.0006,0.1797,0.0032,0.0000,0.0000,0.0000,0.0000,0.7794,0.0114,0.0000,0.0000,0.000041,0.000002,0.0000,0.0000,0.000057,0.000001,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000032,0.00004,0.00000, 528.0,604.0, 528.0,  NaN
