s,m/s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"WVEL","MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000,-2.8657650E-003, 0.0000000E+000, 1.9999991E+001, 1.8199992E-002, 2.5000000E+001, 2.5000000E+001, 3.4076664E-003
 2.0008954E+000, 3.5563119E-003, 2.5011476E-004, 2.0784320E+001, 1.8913731E-002, 3.8102691E+001, 4.0196658E+001, 5.6417863E-003
 4.0004785E+000, 2.2935688E+000, 1.1905811E-002, 4.0454623E+001, 3.6813707E-002, 6.1344284E+001, 7.9965961E+001, 2.3336928E+000
 6.0005836E+000, 4.3690197E+000, 2.4344868E-002, 4.4613300E+001, 4.0598103E-002, 6.5066586E+001, 8.5896530E+001, 4.4099488E+000
 8.0001568E+000, 4.2004050E+000, 2.7550097E-002, 4.3766499E+001, 3.9827514E-002, 6.4958914E+001, 8.4674528E+001, 4.1664147E+000
 1.0000146E+001, 4.0558968E+000, 2.8746050E-002, 4.3151111E+001, 3.9267511E-002, 6.4944213E+001, 8.5278148E+001, 4.0327528E+000
 1.2000107E+001, 4.2285971E+000, 2.9964754E-002, 4.3760861E+001, 3.9822383E-002, 6.4947244E+001, 8.5809784E+001, 4.0735052E+000
 1.4000594E+001, 4.0969823E+000, 3.0323776E-002, 4.2977622E+001, 3.9109636E-002, 6.4921165E+001, 8.5734687E+001, 3.9800508E+000
 1.6000244E+001, 4.1763436E+000, 3.0285341E-002, 4.2346736E+001, 3.8535530E-002, 6.4898418E+001, 8.5431793E+001, 4.1230575E+000
 1.8000250E+001, 4.1454760E+000, 3.0606778E-002, 4.2073198E+001, 3.8286610E-002, 6.4871232E+001, 8.4456916E+001, 3.9441043E+000
 2.0000321E+001, 3.8567259E+000, 3.0860473E-002, 4.1779262E+001, 3.8019129E-002, 6.4861055E+001, 8.3727299E+001, 3.7173965E+000
 2.2000570E+001, 3.8723941E+000, 3.1693340E-002, 4.2120550E+001, 3.8329700E-002, 6.4862383E+001, 8.3805715E+001, 3.7883381E+000
 2.4000218E+001, 4.0401939E+000, 3.1391782E-002, 4.1263838E+001, 3.7550092E-002, 6.4855361E+001, 8.4710329E+001, 3.9119506E+000
 2.6000497E+001, 3.9362720E+000, 2.2675093E-002, 2.9341038E+001, 2.6700344E-002, 6.4857238E+001, 8.7609142E+001, 3.8877254E+000
 2.8000402E+001, 4.2888856E+000, 1.9988040E-002, 2.6141852E+001, 2.3789085E-002, 6.4810805E+001, 8.8372816E+001, 4.3486994E+000
 3.0000408E+001, 4.5397571E+000, 1.9690433E-002, 2.6085802E+001, 2.3738080E-002, 6.4808963E+001, 8.8693597E+001, 4.6011597E+000
 3.2000231E+001, 4.5417138E+000, 1.8856129E-002, 2.4815288E+001, 2.2581912E-002, 6.4803880E+001, 8.8137978E+001, 4.5393247E+000
 3.4000134E+001, 4.2738425E+000, 1.9285736E-002, 2.5250102E+001, 2.2977593E-002, 6.4794206E+001, 8.8651789E+001, 4.2603486E+000
