s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00,-8.428E-04, 2.505E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.428E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.002E+00, 1.071E+00,-3.360E-01, 1.171E-02,-1.106E-01, 9.921E-04, 0.000E+00, 0.000E+00, 6.334E-01, 6.372E-01, 0.000E+00, 2.447E-05, 0.000E+00, 0.000E+00, 1.335E-13
 4.003E+00, 3.309E+00,-1.133E+00, 4.071E-02,-4.592E-01, 1.231E-02, 0.000E+00, 0.000E+00, 1.766E+00, 1.770E+00, 0.000E+00, 7.322E-05, 0.000E+00, 0.000E+00, 1.732E-13
 6.003E+00, 5.514E+00,-1.888E+00,-9.956E-02,-9.089E-01, 3.779E-02, 0.000E+00, 0.000E+00, 2.653E+00, 2.655E+00, 0.000E+00, 1.220E-04, 0.000E+00, 0.000E+00, 1.954E-11
 8.001E+00, 7.699E+00,-2.642E+00,-5.717E-01,-1.235E+00, 6.891E-02, 0.000E+00, 0.000E+00, 3.317E+00, 3.320E+00, 0.000E+00, 1.707E-04, 0.000E+00, 0.000E+00, 1.526E-09
 1.000E+01, 9.894E+00,-3.401E+00,-2.739E+00,-1.507E+00, 1.034E-01, 0.000E+00, 0.000E+00, 2.350E+00, 2.350E+00, 0.000E+00, 2.194E-04, 0.000E+00, 0.000E+00, 4.239E-08
 1.200E+01, 1.213E+01,-4.173E+00,-4.529E+00,-1.708E+00, 1.382E-01, 0.000E+00, 0.000E+00, 1.857E+00, 1.859E+00, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 6.175E-07
 1.400E+01, 1.446E+01,-4.973E+00,-6.141E+00,-1.954E+00, 1.727E-01, 0.000E+00, 0.000E+00, 1.567E+00, 1.560E+00, 0.000E+00, 3.169E-04, 0.000E+00, 0.000E+00, 5.163E-06
 1.600E+01, 1.706E+01,-5.851E+00,-6.864E+00,-1.999E+00, 2.057E-01, 0.000E+00, 0.000E+00, 2.559E+00, 2.548E+00, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 2.136E-05
 1.800E+01, 1.986E+01,-6.798E+00,-9.221E+00,-2.075E+00, 2.383E-01, 0.000E+00, 0.000E+00, 2.028E+00, 2.000E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 3.863E-05
 2.000E+01, 2.210E+01,-7.579E+00,-1.100E+01,-2.354E+00, 2.663E-01, 0.000E+00, 0.000E+00, 1.497E+00, 1.435E+00, 0.000E+00, 4.631E-04, 0.000E+00, 0.000E+00, 4.139E-05
 2.200E+01, 2.497E+01,-8.575E+00,-1.182E+01,-2.595E+00, 2.946E-01, 0.000E+00, 0.000E+00, 2.314E+00, 2.274E+00, 0.000E+00, 5.177E-04, 0.000E+00, 0.000E+00, 5.654E-05
 2.400E+01, 2.853E+01,-9.788E+00,-1.380E+01,-2.814E+00, 3.234E-01, 0.000E+00, 0.000E+00, 2.485E+00, 2.447E+00, 0.000E+00, 5.783E-04, 0.000E+00, 0.000E+00, 8.605E-05
 2.600E+01, 3.188E+01,-1.095E+01,-1.840E+01,-3.057E+00, 3.456E-01, 0.000E+00, 0.000E+00,-1.349E-01,-1.826E-01, 0.000E+00, 6.389E-04, 0.000E+00, 0.000E+00, 1.068E-04
 2.800E+01, 3.494E+01,-1.201E+01,-1.678E+01,-2.997E+00, 3.622E-01, 0.000E+00, 0.000E+00, 3.595E+00, 3.517E+00, 0.000E+00, 6.995E-04, 0.000E+00, 0.000E+00, 1.181E-04
 3.000E+01, 3.811E+01,-1.314E+01,-2.428E+01,-3.411E+00, 3.927E-01, 0.000E+00, 0.000E+00,-2.191E+00,-2.318E+00, 0.000E+00, 7.601E-04, 0.000E+00, 0.000E+00, 1.311E-04
 3.200E+01, 4.152E+01,-1.428E+01,-1.781E+01,-3.635E+00, 4.096E-01, 0.000E+00, 0.000E+00, 6.303E+00, 6.199E+00, 0.000E+00, 8.207E-04, 0.000E+00, 0.000E+00, 1.527E-04
 3.400E+01, 4.509E+01,-1.547E+01,-2.544E+01,-4.053E+00, 4.282E-01, 0.000E+00, 0.000E+00, 6.452E-01, 5.552E-01, 0.000E+00, 8.813E-04, 0.000E+00, 0.000E+00, 1.866E-04
 3.600E+01, 4.882E+01,-1.675E+01,-2.831E+01,-4.246E+00, 4.333E-01, 0.000E+00, 0.000E+00, 6.313E-02,-4.636E-02, 0.000E+00, 9.419E-04, 0.000E+00, 0.000E+00, 2.262E-04
 3.800E+01, 5.321E+01,-1.829E+01,-2.941E+01,-4.091E+00, 4.376E-01, 0.000E+00, 0.000E+00, 2.063E+00, 1.856E+00, 0.000E+00, 1.002E-03, 0.000E+00, 0.000E+00, 2.708E-04
 4.000E+01, 5.794E+01,-1.990E+01,-3.166E+01,-4.812E+00, 4.570E-01, 0.000E+00, 0.000E+00, 2.164E+00, 2.028E+00, 0.000E+00, 1.063E-03, 0.000E+00, 0.000E+00, 3.413E-04
 4.200E+01, 6.143E+01,-2.091E+01,-3.356E+01,-5.414E+00, 4.668E-01, 0.000E+00, 0.000E+00, 2.182E+00, 2.013E+00, 0.000E+00, 1.103E-03, 0.000E+00, 0.000E+00, 4.042E-04
 4.400E+01, 6.460E+01,-2.201E+01,-3.656E+01,-4.963E+00, 4.568E-01, 0.000E+00, 0.000E+00, 1.656E+00, 1.530E+00, 0.000E+00, 1.123E-03, 0.000E+00, 0.000E+00, 4.734E-04
 4.600E+01, 6.776E+01,-2.314E+01,-4.009E+01,-5.296E+00, 4.364E-01, 0.000E+00, 0.000E+00,-1.394E-01,-3.352E-01, 0.000E+00, 1.143E-03, 0.000E+00, 0.000E+00, 5.919E-04
 4.800E+01, 7.413E+01,-2.525E+01,-4.276E+01,-5.694E+00, 4.174E-01, 0.000E+00, 0.000E+00, 1.104E+00, 8.446E-01, 0.000E+00, 1.163E-03, 0.000E+00, 0.000E+00, 7.325E-04
 5.000E+01, 7.983E+01,-2.716E+01,-4.152E+01,-6.108E+00, 4.305E-01, 0.000E+00, 0.000E+00, 5.684E+00, 5.480E+00, 0.000E+00, 1.182E-03, 0.000E+00, 0.000E+00, 9.089E-04
 5.200E+01, 8.626E+01,-2.898E+01,-5.034E+01,-6.626E+00, 4.297E-01, 0.000E+00, 0.000E+00, 8.754E-01, 7.392E-01, 0.000E+00, 1.202E-03, 0.000E+00, 0.000E+00, 1.105E-03
 5.400E+01, 9.306E+01,-3.123E+01,-5.123E+01,-6.447E+00, 4.229E-01, 0.000E+00, 0.000E+00, 4.732E+00, 4.573E+00, 0.000E+00, 1.222E-03, 0.000E+00, 0.000E+00, 1.325E-03
 5.600E+01, 1.010E+02,-3.400E+01,-6.387E+01,-7.505E+00, 3.868E-01, 0.000E+00, 0.000E+00,-3.581E+00,-4.002E+00, 0.000E+00, 1.242E-03, 0.000E+00, 0.000E+00, 1.612E-03
 5.800E+01, 1.133E+02,-3.795E+01,-5.891E+01,-8.180E+00, 3.728E-01, 0.000E+00, 0.000E+00, 9.084E+00, 8.680E+00, 0.000E+00, 1.261E-03, 0.000E+00, 0.000E+00, 1.932E-03
 6.000E+01, 1.245E+02,-4.162E+01,-7.165E+01,-8.614E+00, 3.832E-01, 0.000E+00, 0.000E+00, 3.489E+00, 3.011E+00, 0.000E+00, 1.281E-03, 0.000E+00, 0.000E+00, 2.326E-03
 6.200E+01, 1.360E+02,-4.591E+01,-8.000E+01,-9.093E+00, 3.844E-01, 0.000E+00, 0.000E+00, 1.875E+00, 1.384E+00, 0.000E+00, 1.296E-03, 0.000E+00, 0.000E+00, 2.699E-03
 6.400E+01, 1.505E+02,-5.033E+01,-8.178E+01,-9.771E+00, 3.745E-01, 0.000E+00, 0.000E+00, 9.366E+00, 8.993E+00, 0.000E+00, 1.305E-03, 0.000E+00, 0.000E+00, 3.216E-03
 6.600E+01, 1.652E+02,-5.534E+01,-1.044E+02,-1.074E+01, 3.321E-01, 0.000E+00, 0.000E+00,-4.305E+00,-4.951E+00, 0.000E+00, 1.314E-03, 0.000E+00, 0.000E+00, 3.748E-03
 6.800E+01, 1.842E+02,-6.176E+01,-1.034E+02,-1.185E+01, 3.283E-01, 0.000E+00, 0.000E+00, 8.193E+00, 7.477E+00, 0.000E+00, 1.323E-03, 0.000E+00, 0.000E+00, 4.262E-03
 7.000E+01, 1.986E+02,-6.605E+01,-1.188E+02,-1.275E+01, 3.413E-01, 0.000E+00, 0.000E+00, 2.347E+00, 1.383E+00, 0.000E+00, 1.332E-03, 0.000E+00, 0.000E+00, 4.838E-03
 7.200E+01, 2.140E+02,-7.269E+01,-1.259E+02,-1.263E+01, 3.310E-01, 0.000E+00, 0.000E+00, 3.856E+00, 3.176E+00, 0.000E+00, 1.342E-03, 0.000E+00, 0.000E+00, 5.366E-03
 7.400E+01, 2.309E+02,-7.768E+01,-1.356E+02,-1.429E+01, 3.222E-01, 0.000E+00, 0.000E+00, 4.707E+00, 3.687E+00, 0.000E+00, 1.351E-03, 0.000E+00, 0.000E+00, 5.957E-03
 7.600E+01, 2.463E+02,-8.276E+01,-1.552E+02,-1.439E+01, 2.717E-01, 0.000E+00, 0.000E+00,-4.830E+00,-5.713E+00, 0.000E+00, 1.360E-03, 0.000E+00, 0.000E+00, 6.482E-03
 7.800E+01, 2.702E+02,-9.085E+01,-1.484E+02,-1.574E+01, 2.988E-01, 0.000E+00, 0.000E+00, 1.646E+01, 1.545E+01, 0.000E+00, 1.369E-03, 0.000E+00, 0.000E+00, 7.194E-03
 8.000E+01, 2.976E+02,-1.007E+02,-1.820E+02,-1.655E+01, 3.070E-01, 0.000E+00, 0.000E+00,-2.197E-01,-1.272E+00, 0.000E+00, 1.379E-03, 0.000E+00, 0.000E+00, 8.145E-03
 8.200E+01, 3.338E+02,-1.117E+02,-1.948E+02,-1.859E+01, 3.222E-01, 0.000E+00, 0.000E+00, 1.045E+01, 9.069E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 9.551E-03
 8.400E+01, 3.657E+02,-1.231E+02,-2.195E+02,-2.058E+01, 2.873E-01, 0.000E+00, 0.000E+00, 4.349E+00, 2.792E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.070E-02
 8.600E+01, 4.000E+02,-1.338E+02,-2.438E+02,-1.986E+01, 2.367E-01, 0.000E+00, 0.000E+00, 4.078E+00, 2.777E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.173E-02
 8.800E+01, 4.430E+02,-1.474E+02,-2.673E+02,-2.205E+01, 2.682E-01, 0.000E+00, 0.000E+00, 8.449E+00, 6.529E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.322E-02
