s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00,-1.182E-03,-8.607E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.182E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 1.085E+00,-2.735E-01, 1.159E-02,-1.464E-01, 5.646E-04, 0.000E+00, 0.000E+00, 6.723E-01, 6.770E-01, 0.000E+00, 2.442E-05, 0.000E+00, 0.000E+00, 1.336E-13
 4.000E+00, 3.319E+00,-9.343E-01,-5.764E-03,-6.327E-01, 7.968E-03, 0.000E+00, 0.000E+00, 1.732E+00, 1.754E+00, 0.000E+00, 7.314E-05, 0.000E+00, 0.000E+00, 1.354E-13
 6.001E+00, 5.548E+00,-1.562E+00,-3.852E-01,-1.106E+00, 2.749E-02, 0.000E+00, 0.000E+00, 2.477E+00, 2.523E+00, 0.000E+00, 1.219E-04, 0.000E+00, 0.000E+00, 1.538E-13
 8.000E+00, 7.752E+00,-2.183E+00,-9.471E-01,-1.759E+00, 6.075E-02, 0.000E+00, 0.000E+00, 2.904E+00, 2.924E+00, 0.000E+00, 1.706E-04, 0.000E+00, 0.000E+00, 9.416E-13
 1.000E+01, 9.931E+00,-2.796E+00,-2.026E+00,-2.271E+00, 1.015E-01, 0.000E+00, 0.000E+00, 2.872E+00, 2.939E+00, 0.000E+00, 2.193E-04, 0.000E+00, 0.000E+00, 4.391E-11
 1.200E+01, 1.206E+01,-3.398E+00,-5.361E+00,-2.863E+00, 1.495E-01, 0.000E+00, 0.000E+00, 5.780E-01, 5.866E-01, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 1.096E-09
 1.400E+01, 1.429E+01,-4.065E+00,-4.348E+00,-3.407E+00, 1.940E-01, 0.000E+00, 0.000E+00, 2.589E+00, 2.670E+00, 0.000E+00, 3.168E-04, 0.000E+00, 0.000E+00, 1.458E-08
 1.600E+01, 1.657E+01,-4.732E+00,-8.031E+00,-3.496E+00, 2.410E-01, 0.000E+00, 0.000E+00, 5.087E-01, 5.526E-01, 0.000E+00, 3.655E-04, 0.000E+00, 0.000E+00, 1.402E-07
 1.800E+01, 1.853E+01,-5.270E+00,-7.330E+00,-3.856E+00, 2.837E-01, 0.000E+00, 0.000E+00, 2.278E+00, 2.357E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 1.124E-06
