XO2,eta,Chi_R
0.208,  0.00,  2.79
0.208,  0.33,  0.19
0.208,  0.82,  0.25
0.208,  0.96,  0.25
0.208,  1.00,  0.24
0.208,  0.99,  0.22
0.207,  0.99,  0.23
0.203,  0.98,  0.23
0.197,  0.99,  0.23
0.192,  0.98,  0.22
0.187,  0.98,  0.21
0.182,  0.99,  0.20
0.178,  0.99,  0.20
0.174,  0.98,  0.19
0.170,  0.99,  0.18
0.166,  0.98,  0.17
0.162,  0.98,  0.16
0.159,  0.99,  0.15
0.155,  0.98,  0.15
0.152,  0.96,  0.14
0.149,  0.97,  0.13
0.146,  0.97,  0.12
0.143,  0.97,  0.12
0.141,  1.00,  0.11
0.138,  0.98,  0.10
0.135,  0.98,  0.10
0.133,  0.96,  0.09
0.131,  0.97,  0.08
0.128,  0.98,  0.08
0.126,  0.97,  0.07
0.124,  0.96,  0.07
0.122,  0.94,  0.06
0.120,  0.93,  0.05
0.118,  0.94,  0.04
0.116,  0.92,  0.03
0.115,  0.88,  0.02
0.113,  0.75,  0.02
0.111,  0.68,  0.01
0.110,  0.53,  0.00
0.108,  0.34,  0.00
0.106,  0.12,  0.00
0.105,  0.02,  0.00
0.103,  0.01,  0.01
0.102,  0.00,  0.02
0.101,  0.00,  0.00
0.099,  0.00,  0.00
0.098,  0.00,  0.00
0.097,  0.00,  0.00
0.096,  0.00,  0.00
0.094,  0.00,  0.00
0.093,  0.00,  0.00
0.092,  0.00,  0.00
0.091,  0.00,  0.00
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.00
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
