XO2,eta,Chi_R
0.208,  0.00,  2.22
0.208,  0.27,  0.26
0.208,  0.72,  0.30
0.208,  0.93,  0.29
0.208,  1.00,  0.29
0.208,  0.97,  0.28
0.208,  0.96,  0.28
0.202,  0.97,  0.28
0.197,  0.98,  0.28
0.192,  0.99,  0.28
0.187,  0.96,  0.27
0.182,  0.98,  0.26
0.178,  0.96,  0.25
0.174,  0.96,  0.24
0.170,  0.97,  0.23
0.166,  0.98,  0.22
0.162,  0.95,  0.22
0.159,  0.98,  0.21
0.155,  0.97,  0.20
0.152,  0.96,  0.19
0.149,  0.94,  0.18
0.146,  0.98,  0.17
0.143,  0.97,  0.17
0.141,  0.95,  0.16
0.138,  0.94,  0.15
0.135,  0.97,  0.14
0.133,  0.97,  0.13
0.131,  0.96,  0.12
0.128,  0.92,  0.12
0.126,  0.98,  0.11
0.124,  0.96,  0.10
0.122,  0.96,  0.09
0.120,  0.95,  0.09
0.118,  0.96,  0.07
0.116,  0.95,  0.06
0.115,  0.93,  0.06
0.113,  0.92,  0.05
0.111,  0.91,  0.04
0.110,  0.86,  0.03
0.108,  0.81,  0.02
0.106,  0.75,  0.01
0.105,  0.58,  0.01
0.103,  0.44,  0.00
0.102,  0.22,  0.00
0.101,  0.05,  0.00
0.099,  0.00,  0.05
0.098,  0.00,  0.28
0.097,  0.00,  0.25
0.096,  0.00,  0.21
0.094,  0.00,  0.15
0.093,  0.00,  0.13
0.092,  0.00,  0.08
0.091,  0.00,  0.09
0.090,  0.00,  0.08
0.089,  0.00,  0.05
0.088,  0.00,  0.02
0.087,  0.00,  0.02
0.086,  0.00,  0.02
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
